;text;cluster;score
1354;top terima kasih fiturnya bagus apknya;3;4
1355;yang kembali gimana cara blokir akun;3;2
1356;stabil server;3;1
1357;update uang transfer tolong parah mau masuk lapor gx bsb bingung banget aplikasi;0;1
1358;sekali baik;2;5
1359;sama min kerja;3;5
1360;tau kredit debit;3;4
1361;yang temu sm rek nomor malah kartu jelas gak data daftar aplikasi;3;1
1362;udah tidak sampah sama nomor nomer ngak kartu jelas id eror buku app apa aktivasi aja;3;1
1363;tu tanggap semua sama rata orang nya nama mending layan kurang kasih jelas gak gagal fitur daerah bintang bikin bca banyak bank aplikasi ajar aja;3;1
1364;ny masuk gmna cara bos akun;3;2
1365;update untung sering saldo potong pernah nasabah minim kembang keluh kata kali jelas henti guna fiturnya error cacat bsb balik aplikasi;0;1
1366;susah sinyal sangat saldo pulsa pdhl palembang msh masa kartu jg gin daerah coba bos bank baik aktivasi;3;1
1367;yang udah transaksi terus tapi sm sistem potong otomatis mulai mobile masuk kecewa hari gak gagal dari bsb bnyak blokir baik;3;1
1368;yang urus untuk topup super saldo nasabah masuk masa layan jelek jd gagal debet datang call buat bsb bank apa;3;1
1369;ulas sumsel sering semua rugi rasa pikir pihak pernah orang moga lebih lagi kait guna ganggu depan cuma bsb bintang banyak baik babel aplikasi aja;0;3
1370;uang rekening perlu notifikasi nomor mulu mohon mau masuk login kembang keluar fitur baik atau aplikasi;2;1
1371;bantu aplikasi;0;5
1372;yang terimakasih sumsel masuk kerja hari dana butuh bank banget babel;3;5
1373;yang tau cara beri benar bagaimana aktivasi;3;5
1374;oke;3;5
1375;transaksi sangat ribet lebih kali gagal coba buat biar bbrp bagus aplikasi;1;1
1376;sangat bagus;1;5
1377;alhamdulillah;3;5
1378;tidak parah login banget app;3;1
1379;transfer saldo potong parah gagal aplikasi;0;1
1380;udah transaksi telpon sama saldo rugi ribu potong pa kok kalian kali jelas hampir gak gagal bukan bank aplikasi apa;3;1
1381;susah lelet buruk buka aktivasi;3;2
1382;sangat baik aman;2;5
1383;saldo gak cek aja;3;1
1384;mantap;1;5
1385;tlg tidak susah simpel mohon lebih guna biar benar bank baik;2;2
1386;padahal lelet lancar jaring;3;1
1387;transaksi selalu saldo mana kurang jt jawab hilang gagal bsb baik;3;1
1388;sangat kecewa gak eror abis;1;1
1389;mantap keren bsb abis;1;5
1390;ulang tidak sulit sm lanjut keluar buat aktivasi;3;3
1391;ngabisin cacat aplikasi;0;1
1392;ulang uda terus solusi mau masak login ini gak bolak balik aktifasi;3;1
1393;ulang repot mudah malah lapor kalau instal habis cabang bank aplikasi aneh;3;5
1394;tarik sampah cuma aplikasi;0;1
1395;waktu terus padahal mau kuota kok jaring internet gak cuma banking bagaimana aman aktivasi;3;1
1396;;3;
1397;lelet kok;3;2
1398;mulu kurang error;3;1
1399;wa udah transaksi tidak terus telpon saldo potong parah malah kemarin kali jelas habis gimana gagal email coba banget;3;1
1400;tuh tiap rekening online mutasi muncul kali cek;3;1
1401;pegawai otp mungkin mulu mau kode kalo dikit bank;3;1
1402;sekali bantu;1;5
1403;uninstal terus ribet minta male bikin aktivasi aja;3;1
1404;transfer temu sumsel sekali sama ribet rek ramah perlu palembang pa nomor minta mau mana layan lama ket ini guna gak csnya bank anehh ampun;3;1
1405;payah makin lama aplikasiny;3;1
1406;ulang tpi tidak minta eror aplikasi aktivasi;0;1
1407;transaksi tidak sekali nya ngurus mbanking makan gaji bug bsb beres banyak apa;3;1
1408;jelek;3;1
1409;sering kecewa error;3;2
1410;virtual untuk tapi sedia ny min lengkap jga jauh cabang atm;3;5
1411;sangat;1;5
1412;transper sering sangat keluar buruk aplikasi anehh;0;1
1413;eror;3;1
1414;uang transfer sumsel sama prose mudah mobile bsb best banking bank baik atau;3;5
1415;transfer sih mbankingnya masa malah jelek gimana csnya cabang bingung bank banget aplikasi;3;1
1416;saldo mulu hadeh eror;3;1
1417;ulang transaksi suruh sim riwayat padahal mau login kartu kadang jg jelas ilang error deteksi card banyak baca aplikasi aktivasi aktif;0;1
1418;top tetap tapi sini saldo parah kurang gagal coba baca;3;1
1419;uang top sumsel status sekali sama saldo rb qris pakai nama masuk laku kembali hasil dana besar bank;3;1
1420;melulu kapan error bagus;3;1
1421;transaksi tidak dri;3;4
1422;transfer tidak terus mbanking kemaren ganggu dri;3;2
1423;transfer transaksi sumsel sama saldo rekening qris parah masa laku kurang kemudian isi guna gagal digital biaya bank banget babel admin;3;1
1424;terang temu gak data aktivasi;3;1
1425;transfer terus sudah sama lalu hari hapus bsb apa;3;1
1426;ulang udah tidak tetep sangat mau masak kecewa download daftar apknya akun aja;3;1
1427;best;3;5
1428;tanggap pakai jadi banyak aplikasi;0;1
1429;puas;3;5
1430;;3;
1431;transaksi tidak status padahal online nih mutasi link liat lancar la kalo jaring internet eh dikit buka bsb biso;3;3
1432;utama tunggu transfer transaksi tlg tidak samsung kata hp hari baik akhir;2;3
1433;transfer transaksi tidak saldo pulsa padahal mobile masuk liat kurang kecewa kalian kalau jangan ilang hati guna buat banking;3;1
1434;transfer sering selalu ganggu eror aplikasi alami;3;3
1435;tulis terus tapi sy sm sandi rekening pa nomer nih nama masukin masalah masak kecewa kartu hp dong blokir baik akun;3;1
1436;update segera lelet dak baru baik aplikasi;0;1
1437;aplikasi;0;1
1438;makin jaya;3;5
1439;sangat best bantu aplikasi;1;5
1440;jelas dak;3;1
1441;tidak sama nih masa kan gimana bank aja;3;2
1442;transfer susah ribet kalau bener aja;3;1
1443;sangat manfaat;1;5
1444;senang;3;5
1445;udah transaksi tidak hari;3;1
1446;tingkat terus sangat baik aman;2;4
1447;mantap;1;5
1448;wallet transaksi top sedikit sangat kurang fitur bank;1;4
1449;lot aplikasi;0;1
1450;sukses manfaat makin maju babel aplikasi;0;5
1451;transaksi tiba sendiri selalu minta log ganggu erorr bank baik;3;1
1452;tidak sumpah sekali sama repot malah jelas error bikin banyak bantu banget;3;1
1453;tlg perhati lagi kurang aplikasi;0;1
1454;transaksi punya mudah mbanking masuk login kasih buat biar;3;5
1455;good;1;4
1456;mantap;1;5
1457;ribet pake otp mulu mau kode kalau;3;3
1458;sangat bantu;1;4
1459;mau lot kirim jadi banget;3;1
1460;terang sistem selalu masalah jadi android;3;4
1461;aplikasi;0;1
1462;bagus;1;5
1463;update tidak mentok aplikasi;0;1
1464;pacak mobile lah kalo dak bsb biso banking aktifasi admin;3;5
1465;virtual tambah pay bayar bagus;3;4
1466;sekali mudah;1;5
1467;update ribet mutu gak dikit beda bank;3;1
1468;sangat bantu;1;5
1469;transfer tak sumsel semua sama punya perlu pakai orang nama mbanking email depan bank babel;3;4
1470;tuju transfer transaksi tidak tiap terus rekening masuk kali ganggu debet beberapa;3;1
1471;terus sayang sangat praktis memang diupdate bantu aplikasi;1;4
1472;yaa uang selalu pulsa pemberitahuan ngga minta masuk lapor keluar kalau;3;3
1473;update transfer skrg pa minta lgi kecewa jd error diupdate banget atm aplikasi;3;1
1474;tlg tidak paket lot kok dong cuma buka banyak aplikasi admin;0;2
1475;ngak;3;5
1476;mantab;3;5
1477;mantap;1;5
1478;transfer tiap sudah sistem selalu rek pdhl nomor mudah mau malah lama kesel gagal daftar bikin biar bener banking baik;3;1
1479;terimakasih sumsel sangat nasabah layan bank baik atas;2;5
1480;mudah ak;1;5
1481;yang uang transfer transaksi tlg tapi tak satu sama ribet rekening pin otp mudah mau malam lebih lah kembali keluar kalau kadang hr gak eror bulan bolak baru banyak bank balik baik aplikasi;3;1
1482;terus ribet login loading lama;3;1
1483;sangat baik;2;5
1484;mantap biasa;1;5
1485;mudah guna;1;5
1486;nian bank;3;5
1487;manfaat lebih banyak;3;3
1488;tuju terlalu rek nomor dulu;3;4
1489;sangat baik;2;5
1490;transaksi sekali sangat bantu;1;5
1491;suka lot;3;3
1492;uang prose pakai nunggu lama kalau jangan hari cepat;3;1
1493;good;1;5
1494;sangat bantu;1;5
1495;update tuju transaksi tiap terus tambah server selalu saldo rugi pihak pake padahal mau malam lot libur layan kenapa kalau hari dulu dengan cm cepat cek bulan biar benar baik bagus aplikasi aja abis;3;3
1496;transaksi sumsel sangat guna bsb bantu aplikasi;1;4
1497;udah mulu error bank aplikasi;0;2
1498;transaksi mudah lebih jadi cepat;1;5
1499;terus sinyal ngga masuk lot baik;3;1
1500;bagus;1;5
1501;tak semua selesai sangat rumah perlu ngantri mau cukup bayar bantu bank aplikasi;1;5
1502;lumayan;3;3
1503;bagus;1;5
1504;keren;3;5
1505;tu ribet kurang kayak canggih bca apknya;3;1
1506;ribet pindah minta mana gak bank aplikasi aktivasi;0;1
1507;sangat cepat bantu;1;5
1508;sekali manfaat;3;5
1509;tarik;3;4
1510;mantap;1;5
1511;topup tlong tambah dong dana;3;3
1512;tingkat terus kualitas baik;2;5
1513;top mudah lancar gopay dong coba;3;5
1514;manfaat bagus aplikasi;0;5
1515;mudah guna;1;5
1516;urus uang sumsel pakai mudah bank aplikasi;0;4
1517;sangat bantu;1;5
1518;update tlong tingkat sering saldo potong paket padahal gagal bsb beli baru aplikasi;0;2
1519;mantap;1;5
1520;tidak jelas;3;1
1521;cukup bantu;1;5
1522;transaksi sangat online nasabah bantu;1;5
1523;kasih;3;1
1524;untuk tahu sangat saldo mudah mobile mbangking lebih la ada;1;5
1525;keren;3;5
1526;transfer lengkap fitur bayar aplikasi;0;1
1527;lebih baik;2;4
1528;tambah listrik lain fitur contoh bayar;3;3
1529;mau dulu coba aplikasi;0;3
1530;menu masa lain kalah jauh dong banyak bank;3;1
1531;simpel sayang kurang;3;5
1532;tagih sayang lumayan listrik bayar;3;4
1533;lumayan jelek;3;2
1534;yang transaksi tidak mudah lain keren kalah dengan bantu bank aplikasi;1;5
1535;bagus;1;5
1536;mudah lebih jd ak;3;5
1537;uang transaksi sangat notifikasi mudah masuk bantu;1;5
1538;puas;3;4
1539;;3;
1540;yang terus tadi seluruh satu pake nasabah lot lama kembang jelek ini hampir gak gagal enak buat bintang beri banyak banget bagus aplikasi aja;0;1
1541;yang tiba tau sandi salah padahal mbanking masukin ku kode blokir;3;4
1542;tranfer tidak sangat dlm bank;3;3
1543;transfer tanggal selalu pa mau gaji gagal dn;3;1
1544;tidak susah sampah saldo pulsa mbanking masuk mana lalu kurang isi benar;3;1
1545;butuh banyak baik;2;3
1546;transaksi mantap lebih fitur depan banyak aplikasi;1;5
1547;luar biasa aplikasi;0;5
1548;muas;3;5
1549;mudah cepat;1;5
1550;transfer saldo mau kecewa gak donk cm cek baik aplikasi aja;0;1
1551;sangat bantu;1;5
1552;uang transaksi payah mau kurang gagal aplikasi;0;1
1553;tuju transfer tambah rekening fitur daftar;3;3
1554;maju bagus;1;5
1555;lot;3;1
1556;muas;3;5
1557;temu sampah nomor masukin malah kartu data atm aktivasi;3;1
1558;makin baik;2;5
1559;oke;3;5
1560;tidak terus temu tabung sumsel soal rating padahal mau masuk kasih data bintang bagaimana babel aku;3;1
1561;tak sekali sangat respon perintah mobile malu keluh guna dana daerah buruk buat bata banyak bank aplikasi;0;1
1562;baik;2;4
1563;tuju temu suruh sinyal ribet rekening periksa pemberitahuan parah pakek padahal nomor ngak mau malah lama lalu kuota ku kalo jaring fungsi download data bolak banyak bank banget balik aplikasi aktivasi;3;1
1564;si padahal jelek blokir benar;3;1
1565;baru;3;3
1566;bagus;1;5
1567;sekarang sangat mobile kok gak buka bantu banking aplikasi;0;5
1568;baik;2;5
1569;bagus;1;5
1570;sangat muas;1;5
1571;transaksi sering prose potong otomatis gagal dana;3;1
1572;mantap;1;5
1573;temu error data aktifasi;3;1
1574;udah tidak selalu sangat ribet puas mbankingnya mau masalah jawab hubung call aktivasi;3;1
1575;terlalu sangat ribet kualitas;1;1
1576;mantap;1;5
1577;good cepat banget;1;5
1578;yang ulas tunggu transaksi terus terima sumsel sm simple sampe otp ny nomor mudah mohon liat lebih lama lagi kode kasih kalo jadi enak blm biar bank baik aplikasi;3;2
1579;yang uang tetap tarik tanggal sumsel sistem sekarang sangat saldo rugi manfaat mandiri lapor kurang kembali keluar kecewa kalau jt jadi hilang ganggu eror buruk bca bank atm aneh;3;1
1580;transaksi saldo potong kembali gagal aplikasi;0;1
1581;update susah lot;3;1
1582;mantap;1;5
1583;lah keren;3;5
1584;temu segera rekening punya pakai padahal nomor mohon mau malah kartu data belum baik aktivasi;3;1
1585;ulang tiap silah selalu ribet nih mau login laku kali bener aplikasi aktivasi;3;3
1586;yang update udah tuju transfer tanggal sistem sedikit ribet rek nomor mudah mohon mesti mbangking mau masuk kan kali dulu depan cuma bank bagus;3;4
1587;sering padahal ngga lot banget;3;3
1588;ulang pihak masuk jaring blokir akun akhir;3;1
1589;yang manfaat aplikasi;0;5
1590;ulang terus minta aktivasi;3;1
1591;yang transaksi tingkat pln mudah lagi kan bayar;3;5
1592;update udah solusi sinyal paket hari gak coba;3;4
1593;tingkat praktis mudah lgi lebih bagus;1;4
1594;;3;
1595;nyata kata buat bayar;3;1
1596;lancar;3;5
1597;;3;
1598;banget;3;5
1599;lelet;3;1
1600;sering ribet mobile malam lebih eror banking;3;2
1601;mantap betul aplikasi;0;5
1602;sangat kan ini bantu akun;1;1
1603;sangat muas layan;1;5
1604;update susah sekali aplikasi;0;1
1605;top banget;3;5
1606;sangat bantu;1;5
1607;token tambah oke listrik biar beli aplikasi;3;3
1608;jalan baik appnya;2;5
1609;yang tutup tunggu transfer susah suruh sistem sering saldo pulsa potong pemberitahuan parah pakek ngabisin mending masuk lelet kerja karna jelek hubung hari gaji gagal csnya centernya call bank aja;3;1
1610;update super lot;3;5
1611;mudah;1;5
1612;sangat bantu;1;5
1613;tambah muda;3;5
1614;login;3;1
1615;sulit mau lihat kali jaring;3;1
1616;tidak tengah online malam hari ak;3;1
1617;transfer sulit minggu mau karna jd hari buka aplikasi;0;1
1618;urus upgrade sinyal selalu sekali penting padahal malah gagal bukak bagus;3;1
1619;padahal min masalah jaring;3;1
1620;transaksi sampe padahal masuk ket kendala kenapa jdi jaring hari bagus;3;1
1621;lelet berat aplikasi;0;1
1622;yang sy guna buruk banking;3;1
1623;transaksi sangat bantu;1;5
1624;tlg mulu ganggu baik;2;1
1625;tulis sinyal mobile masuk masalah lancar harap buka bsb baik aplikasi akun;0;1
1626;transfer tidak terus mau mana malah jangan gimana gagal diupdate buka baik aplikasi aj admin;3;1
1627;bagus;1;5
1628;mulu lot loading lancar jam gak app;3;1
1629;paham cukup;3;5
1630;susah ribet;3;1
1631;transaksi tidak suruh servernya sering malam lagi kalau bagus;3;4
1632;baik;2;4
1633;mantul;3;5
1634;sangat bantu;1;5
1635;mantap;1;5
1636;transfer tidak terimakasih tau susah sumsel soal mudah mohon minta min mau maaf lebih kemaren kalo guna gitu bri blokir belum bank baik ampun alam aja;3;1
1637;transaksi tingkat tak sumsel ribet pakai nomor nasabah mungkin memang jaring bsb bikin bank baharu aman;3;5
1638;segala kerja cepat bantu;1;5
1639;lelet;3;2
1640;mantap;1;5
1641;dannyaman aman;3;5
1642;update terus;3;1
1643;;3;
1644;sangat muas;1;5
1645;transaksi mudah lebih;1;5
1646;oke;3;5
1647;sangat bantu;1;5
1648;ribet aplikasi;0;1
1649;tambah pulsa pln perlu cukup bayar baik aplikasi;0;5
1650;simpel muas;3;4
1651;yang smga perlu orang makin dengan;3;4
1652;parah layan;3;1
1653;transaksi sangat mudah baik;2;5
1654;sangat bantu;1;5
1655;sekali sangat bantu;1;5
1656;sekali bagus;1;5
1657;;3;
1658;listrik gak bayar;3;4
1659;bsb baik;2;5
1660;puas aplikasi;0;5
1661;muda dn cepat;3;5
1662;good app;1;5
1663;sangat bantu;1;5
1664;parah lot lelet;3;1
1665;baik;2;5
1666;yang transaksi tidak keluar good bantu alhamdulillah;1;5
1667;uang transaksi tau sangat puas masuk keluar karna bagus;1;5
1668;mantab;3;5
1669;mantap;1;5
1670;sangat bantu baik aplikasi;2;5
1671;sangat bantu;1;5
1672;bagus;1;5
1673;sangat muas layan;1;5
1674;transaksi sangat bantu;1;4
1675;bantu;1;5
1676;mantap;1;5
1677;update sering minta;3;4
1678;tarik sandi salah lengkap kurang isi fitur blokir baru akun;3;1
1679;mudah mbanking guna bri;3;1
1680;udah tim telpon sandi salah ribet praktis pikir parah pake nih mobile masuk masalah male malah krn kerja kantor kalo kali dah csnya cabang bukan buat bsb blokir banking bank aplikasi aja;3;1
1681;tiap salah ribet pin otp mau masukin blokir;3;1
1682;yang transaksi tlg salah rugi pakai nasabah lancar kalau jg jaring developer buruk berat bank baik aplikasi ada;0;1
1683;tulis pa mau login kok error baru;3;1
1684;tidak tengah tau soal saldo ngecek masuk hp cm buat aplikasi apa aja;3;1
1685;sering sama menu masak lain kalah jauh ganggu bank aja;3;1
1686;tidak telpon pa nomor mbanking kalau jangan dari center call bener awal angkat;3;1
1687;uang transfer terus saldo parah pa mulu mau malah kurang gilir error cek banget;3;1
1688;uang tarik semua sangat keluar kecewa gak;3;1
1689;tolol aplikasi;0;1
1690;udah temu tapi registrasi malah kok kenapa data;3;1
1691;ulang padahal guna akun aktivasi;3;1
1692;untk transfer segera saldo moga mbankingnya mbanking kecewa jdi dari cek baik;3;3
1693;transaksi sm qris pernah pake otp masuk bayar anehh;3;1
1694;tingkat mohon layan;3;1
1695;sangat bagus aplikasi;1;5
1696;waktu ujung tranfer tingkat tinggal terus segala saldo salah ribet prose praktis pikir pakai otpnya otp orang mutu mungkin minta mau masuk malah lupa layan kode kena kan kalau jelek gak dekat cuma cek cabang buat blokir banking banget atm aplikasi antri ala aktif;3;1
1697;wallet transfer topup tlong tidak sy respon rata percuma mudah menu mau lama krn kok kalau jg gin dong cm buka bsb bintang aja;3;1
1698;usah ujung udah transfer tapi ribet otp masukin malah kode kayak kalo jelas gin gak gagal eh daerah blokir bikin bank banget akun;3;1
1699;sangat bantu;1;5
1700;ulang tiap suruh ribet log aplikasi aktivasi;0;1
1701;pulsa isi gak cuma;3;1
1702;tidak aktifasi;3;1
1703;sangat mantap bantu;1;5
1704;sumsel sangat saldo mbangking masuk laku kurang kacau isi gak dana babel;3;1
1705;yang udah tidak tapi sy sm si parah pake padahal org masuk malah logout login liat lagi komentar jd id coba blokir bener banking balik akun;3;1
1706;udah transfer saldo minggu masuk kurang hampir gimana ganggu gak apa;3;1
1707;transfer tingkat tetap sama salah prose pihak mau maaf kata kait hasil guna gagal fiturnya bukan bank baik atau aplikasi apa;3;1
1708;ulang udah suruh sangat pa login kecewa jam gak eror buat berapa baru banking banget aplikasi aktivasi;3;1
1709;top kok kak dong dana buat;3;5
1710;tingkat layan baik;2;5
1711;guna baik aplikasi apa aktivasi;0;1
1712;ulang terus aktivasi;3;1
1713;tidak tau tarik rb potong pihak pegawai pdahal narik malah makan la kerja kalo gaji enak cuma cukup bulan buat bank atm aja;3;1
1714;ribet lengkap buruk;3;1
1715;ribet baik aplikasi;2;1
1716;transfer mulu mau kalau error;3;1
1717;mobile good banking;1;5
1718;yang susah semua operasi lambat konsumen komentar emang developer bagus baca apknya apa aja;3;1
1719;tidak produk masa gagal daftar;3;1
1720;sumsel sukses moga;3;5
1721;transfer tambah sumsel sekarang saldo potong parah mobile lebih kali hari gagal bulan bsb balik babel apa;3;1
1722;tadi susah mudah mau masuk malah kok ini gimana gak buka aplikasi;0;1
1723;waktu tiba terus mau masak login kantor gak aja;3;3
1724;pulsa masuk lewat ilang gak duit beli aplikasi;0;1
1725;yang terus telpon sesuai saldo ribet rasa lewat kurang komentar kirim kembali kasih kalo kali isi gak gagal dana csnya bsb beri apa;3;1
1726;erorr;3;1
1727;sm mudah moga makin;3;2
1728;tidak tapi sih cm;3;3
1729;terima susah sulit nih mulu mudah masuk malah jgn gaji error dong bukan bener baik aja;2;1
1730;token tambah listrik lebih kalo fitur cukup beli bayar baik;3;4
1731;top tidak ribet pilih menu mau klu isi digital;3;2
1732;;3;
1733;uang transfer tidak susah selalu saldo pulsa pernah mobile masuk lapor lalu kerja kasi karna kali jangan isi gagal debet cm call buat bintang banyak bangking baik bahkan apa angkat aktif;3;1
1734;yang pernah pakai buruk bank aplikasi;0;1
1735;sering sendiri logout;3;1
1736;mantap;1;5
1737;transfer sering ribet operasi mbangking lebih eror enggak dekat bank baik aplikasi;3;1
1738;top ribet mau lama kecewa banget aja;3;1
1739;yang tidak niat mbanking mau kalah dengan aplikasi;0;1
1740;good;1;5
1741;cepat;3;5
1742;versi update tim sering sekali saat perhati ny mudah moga lebih lama kurang kembang error aman;3;3
1743;mudah gampang beri baik;2;5
1744;mantap;1;5
1745;stabil sinyal sering padahal lalu kendala data aktivasi;3;1
1746;transfer sudah saldo potong nih mau masuk gimana gagal;3;2
1747;temu selalu mau data aktivasi;3;1
1748;terus sinyal padahal masalah lancar koneksi dong buka baik aplikasi apa aja;0;1
1749;tranfer sudah krn jam error blm baik aplikasi aktif;0;3
1750;praktis;3;1
1751;terimakasih sangat bantu;1;4
1752;yang transaksi terang sinyal selalu satu pdhl mobile masalah login koneksi dengan cepat buka bingung bagus;3;1
1753;transfer sumsel sering sama gagal aja;3;1
1754;saat butuh bantu;1;4
1755;sangat manfaat;1;4
1756;tulis temu semua selalu padahal isi gagal data benar aktivasi;3;1
1757;terlalu sumsel pakai orang mudah kan ini cuman blokir aplikasi akun aja;0;1
1758;untuk sulit sekali ribet;3;4
1759;suka kalo eror cek baik;2;2
1760;update kok gak;3;2
1761;baik;2;5
1762;baik;2;5
1763;sangat bantu;1;5
1764;senang;3;5
1765;sekali mantap;1;5
1766;update susah sangat padahal oke lama fitur dikit;3;2
1767;rasa oke bank banget;3;5
1768;transaksi sangat baik;2;5
1769;mudah;1;5
1770;sangat bagus;1;5
1771;moga makin baik;2;5
1772;temu sering segera min laku kendala ini error data baik aktifasi;3;2
1773;mantap ini;1;5
1774;yang tuju transfer transaksi tinggal tidak terima saran ribet rekening rek punya pake otomatis nomor mobile memang mau masukin lagi konsumen kasih karna kan kalau jga jadi hilang harus fitur email dlu bnyak bintang bayar banking bank aj;3;1
1775;transfer suka mau eror bank;3;1
1776;sama saldo pulsa potong notif ngisi masuk masak lah kalah gak error bank baik aplikasi;3;1
1777;sangat ramah layan coba bank baik;2;5
1778;bagus;1;5
1779;mutasi layan kalian gak baik atm aja;3;1
1780;tambah saldo kurang gin gagal;3;1
1781;utama good aman;1;5
1782;sangat bantu;1;5
1783;uang tidak sedot saldo rugi pulsa nih moga masuk kembali isi gak dasar bank aplikasi;3;1
1784;temu data aktivasi;3;1
1785;transfer sulit sistem sendiri saldo qris pasu padahal mpin mbanking malah kurang kode keluar guna gagal buat benar aplikasi akhir;3;1
1786;yang mbanking depan baik aplikasi;2;5
1787;sulit selalu operasi fitur data cukup;3;3
1788;good;1;5
1789;susah;3;1
1790;tinggal selalu prose layan lain kali gagal bsb bank baik aktivasi;3;1
1791;bagus;1;5
1792;mbankingnya dulu daftar bank;3;1
1793;sangat baik;2;5
1794;transfer tiba susah mau blokir;3;1
1795;transaksi tidak terus terlalu sama ribet otp mudah mpin masukin jujur jd guna buat bolak blokir benerin bank balik akun;3;3
1796;keren apknya;3;1
1797;sangat mudah;1;5
1798;yang uang tpi tidak tetap sudah si pa otp mpin masuk lgi kasi jd ini guna gmna cek bsb;3;2
1799;aman;3;5
1800;;3;
1801;tidak parah login banget;3;2
1802;good;1;5
1803;bagus aplikasi;0;5
1804;senang sangat guna;1;5
1805;terus sekali bagus aplikasi;0;5
1806;ribet;3;1
1807;yang salah pin pesan pa otp muncul mbanking malah kalo kali jangan ganti contoh coba buruk blokir bilang banking aplikasi;3;1
1808;rekening padahal muncul informasi cek buka awal aplikasi;0;1
1809;bug banget aplikasi;0;1
1810;yang susah sangat salah pin masuk kantor kali kalau jauh jangan blokir baik;2;1
1811;tidak bug banyak;3;1
1812;gak aplikasi;0;1
1813;pake;3;2
1814;update transaksi tinggal sekali satu sama parah padahal minggu kode kecewa kayak isi hampir gin gimana gak eror;3;1
1815;mantap;1;5
1816;sini selalu padahal operasi koneksi kata internet cukup baik aplikasi;2;1
1817;;3;5
1818;makin maju bsb;3;5
1819;voucher status rekening potong masuk mana kok isi gak gagal email;3;1
1820;tim sumsel nih mulai mana bnyk baik babel aplikasi;3;1
1821;oke aplikasi;0;5
1822;tampil mobile gx bsb aplikasi;0;3
1823;temu mulu kok kek data daftar bener;3;1
1824;suruh selalu sandi padahal mau masuk masalah malu kata gak doang cuma bener bank aktivasi aja;3;1
1825;tim sumsel sering segala ribet otp operasi mungkin mudah mohon mau masuk lebih konsumen kerja karna cara banyak babel;3;3
1826;udah semua rekening padahal nomor ngak masuk bener;3;2
1827;sangat pertama pakai nya lama kasih karna eh dong daftar bintang banyak bagus akun aku;3;4
1828;tinggal selalu sangat jauh gagal buruk aplikasi aktivasi;0;1
1829;temu rekening padahal nomor laku kartu data benar aktivasi;3;1
1830;baik;2;4
1831;transfer terus selalu mau gagal;3;1
1832;uang terima tahu saran mau masuk mantap lebih kasih kalau cuma biar aja ada;3;5
1833;ulang sudah rek padahal nomor kali data coba benar bahkan;3;1
1834;saldo pulsa masuk lalu kecewa kali hilang gak beli apps;3;1
1835;transaksi susah lot jangan dong apknya;3;2
1836;token saran menu listrik fitur bsb beli;3;3
1837;terima tambah susah nama mau kolom kalo gitu dong bawah banyak;3;5
1838;terus temu server pa mau gak error dikit data buat;3;1
1839;bagus;1;5
1840;makin baik alhamdulillah;2;5
1841;;3;
1842;waktu untuk ubah transfer tidak tambah selalu saldo ribet niat mudah mau maksimal lebih jelas guna gagal eh debet aplikasi apknya aja ada;3;1
1843;eror aplikasi aja;0;1
1844;temu pakai padahal kemaren jelas data banking;3;1
1845;wallet virtual update ulang tidak tiba terus terlalu suruh sendiri sedikit saldo mbanking kredit keluar kartu isi guna bayar baik akun aktifasi;3;1
1846;;3;
1847;tidak sampe mau kemaren hr dari;3;1
1848;upgrade transaksi terus tanggal tambah tahun sistem server selalu saldo ribet potong pihak perban pa niat mobile mending mau masalah masa maksimal kalau kait jdi iya hapus gagal eh donk bsb banking baik atm aplikasi;3;1
1849;sangat layan baik;2;5
1850;uang transfer solusi sampe pulsa kurang kali gagal center call beberapa abis;3;1
1851;sumsel nih malu doang buat bos aplikasi aja;0;1
1852;sering masuk gimana gak duit debit bos app;3;1
1853;bgus;3;5
1854;susah download;3;1
1855;transfer tlong tidak tiba server sering sedang saldo respon potong pa mana lama ganggu dong call bukti banget baik;3;2
1856;saldo nyata manfaat cek aplikasi;0;1
1857;sangat bantu;1;5
1858;top saldo mobile gimana dana bsb bingung;3;1
1859;sangat bantu;1;5
1860;mantap;1;5
1861;uang tau suruh mau malah kerja jt hari gimana gak depan bantu bank appnya;3;1
1862;ulas kasih buat aplikasi apa alam;0;1
1863;aktivasi;3;3
1864;transaksi topup terimakasih sangat rugi rekening kurang konsumen kalau ganggu fitur dana bayar bank baik aplikasi alami;3;1
1865;top memang bsb;3;5
1866;waktu ulang udah terus suruh punya parah ngabisin mau login kali error bank aplikasi aktivasi aja;0;1
1867;yang uang transaksi tidak status riwayat pulsa potong masuk gagal beli anehh;3;1
1868;usah sama rekening rek nomor mau masukin kartu emang data bilang apa aktifasi aja;3;1
1869;yah waktu urus transaksi tengah otp mau malah makin kirim kemudian jam habis coba bukan blokir bank baik aplikasi;3;1
1870;bagus;1;5
1871;terus suruh mau login aktivasi;3;2
1872;terus selalu padahal pa mau lalu laku gak gagal dong daftar atm aktivasi;3;2
1873;tingkat sistem manfaat jauh aplikasi aman;0;5
1874;transaksi super sulit sering selalu sekali sangat saing ramah mau layan lain hubung error daerah center call bank bagaimana;3;1
1875;parah jaring ganggu baik;2;1
1876;sering ganggu;3;1
1877;yang sesuai sekali sampah saldo mutasi jelas banyak aplikasi;0;1
